code,lat,lon,name
KJER,42.6719567,-114.393057,Jerome County Airport
K3S9,44.9039399,-121.2591401,Condon State Airport
KARR,41.7681269,-88.4686538,Aurora Municipal Airport
KT30,28.8225131,-99.1118768,McKinley Field Airport
KT82,30.24566,-98.9130359,Gillespie County Airport
K3T5,29.9095344,-96.951168,Fayette Regional Air Center Airport
K49R,29.7462713,-99.7634299,Real County Airport
KECU,29.9488289,-100.1764971,Edwards County Airport
9TE2,30.5632746,-100.4546353,JL Bar Ranch Airport
KDZB,30.5265102,-98.3606452,Horseshoe Bay Resort Airport
KPWG,31.4797974,-97.314901,Mc Gregor Executive Airport
KJPX,40.9610122,-72.2505011,East Hampton Town Airport
KOKZ,32.9635928,-82.8374663,Kaolin Field Airport
0E0,34.9854011,-106.0122085,Moriarty Municipal Airport
BVU,35.9482607,-114.8577562,Boulder City Municipal Airport
KBVU,35.9482607,-114.8577562,Boulder City Municipal Airport
KMYF,32.8127497,-117.1439916,Montgomery-Gibbs Executive Airport
KP33,32.2436485,-109.8967342,Cochise County Airport
KCGE,38.542733,-76.0384821,Cambridge-Dorchester Regional Airport
KBNL,33.2601416,-81.3833659,Barnwell Regional Airport
KFIN,29.4723809,-81.2108492,Flagler Executive Airport
KVSF,43.343118,-72.5252527,Hartness State Airport
KRCR,33.7771801,-84.5242532,Fulton County Airport
KLCI,43.5716857,-71.4259836,Laconia Municipal Airport
KLHQ,39.7542678,-87.1450971,Fairfield County Airport
